text,label
"Ça ne durera plus longtemps, d'ici à ce qu'on puisse aller sur Mars.",fra
Les abeilles aident les plantes à répandre le pollen.,fra
J'ai grand plaisir à faire votre connaissance.,fra
Dan ignore où il va.,fra
Il regarda les garçons nager.,fra
Tiens cette chose loin de moi !,fra
"Je pense qu'il est temps, pour nous, de partir.",fra
Dites-lui que j'étends le linge.,fra
"Si je n'avais pas fait la grasse matinée, j'aurais été à l'heure pour l'école.",fra
Je ne vais pas te mentir.,fra
Tu es un problème.,fra
La journée du 20 avril 2018 sera le trente-huitième anniversaire du printemps berbère.,fra
"Ça me semble un peu bas, non ?",fra
Elle fit une grimace quand elle vit le chien.,fra
Vous n'avez pas de questions ?,fra
C'est pour ça que je ne te l'ai pas dit.,fra
J'ai de terribles maux de tête.,fra
« Et ça c'est quoi ? » « Ce sont vos photos. »,fra
"Est-ce moins cher, d'appeler après neuf heures ?",fra
"Le week-end, j'emmène mes chiens dehors pour une longue promenade dans le parc.",fra
J'ai un voisin bizarre.,fra
Héler un taxi à Manhattan à cinq heures de l'après-midi est presque impossible.,fra
Je suis petite.,fra
Je ne vous laisserai pas sauter.,fra
"Ma mère craignait les chenilles, sans parler des serpents.",fra
Il ne la lâchait pas d’une semelle.,fra
Je dois partir à quatre heures de l'après-midi.,fra
La musique de mon pays me fait pleurer.,fra
Marie aime les phrases longues et complexes.,fra
J'ai essayé de faire ça il y a quelques jours.,fra
J'ai entendu dire qu'une super pâtisserie venait d'ouvrir près du métro.,fra
"Tom se gara sur une des places libres, devant la librairie.",fra
Que voudrais-tu que je fasse ?,fra
"Peu importe ce qui arrive, garde le sourire.",fra
N'es-tu pas intéressé ?,fra
La vitamine C est aussi connue comme acide ascorbique.,fra
Bah ! Ça fait une paille.,fra
Il ment comme un arracheur de dents.,fra
"Il y a des limites à la connaissance humaine, mais nous ne savons pas où elles se situent.",fra
Tom ne savait pas de quoi parlait Mary.,fra
Votre père et votre mère ne sont plus là.,fra
Un environnement de plantes à la maison et sur le lieu de travail améliore l'ambiance.,fra
"Un homme politique veut du courage et de la clairvoyance. Mais après six mois d'expérience, il veut avant tout une chose: de la patience.",fra
Il vous suffit juste de demander.,fra
"Pourquoi, ma chère, regardes-tu de côté, baisses-tu la tête ?",fra
J’ai hâte de te lire.,fra
Il marchent pieds nus sur un lac gelé.,fra
Je n'aurais pas fait ça si tu ne me l'avais pas dit.,fra
Les bénévoles reçoivent un tee-shirt.,fra
Vous êtes et jolie et intelligente.,fra
Ce vieil homme est fatigué.,fra
L'Algérie ne se divisera pas.,fra
Comme ces escaliers sont étroits !,fra
J'ai fait une boulette.,fra
Thomas s'est fourvoyé.,fra
Je ne leur rends pas leur argent.,fra
Tom peut-il danser ?,fra
Ça fait toujours mal.,fra
Écris ce que je vais te dicter.,fra
Cela s’est passé pendant la nuit.,fra
"J'aimerais seulement qu'il ne fasse pas aussi chaud, aujourd'hui.",fra
Tom comprend le français mieux qu'il ne le parle.,fra
Cette aire de stationnement est pleine.,fra
Ma mère est trop protectrice envers moi.,fra
Je me suis converti à l'islam il y a un an.,fra
Je n'ai rien mangé de plusieurs jours.,fra
Êtes-vous levés ?,fra
"Excusez-moi, où y a-t-il un café ici, s'il vous plaît ?",fra
La nourriture est restée là.,fra
Il n'y a pas eu de problèmes.,fra
Il faut apporter ce paquet à la poste.,fra
Mais ce n'est bien sûr qu'une supposition.,fra
Tu ne fais pas la sieste.,fra
J'ai toujours rêvé d'avoir beaucoup d'enfants.,fra
Il se battit jusqu'à la fin.,fra
L'usine est restée inutilisée depuis un an.,fra
J'ai noté son adresse sur un papier.,fra
Je ne fais pas confiance aux politiciens.,fra
Il a oublié le chapeau sur le comptoir.,fra
Je kiffe grave ce chanteur.,fra
Mon programme est vraiment chargé en ce moment.,fra
Que feriez-vous si vous perdiez votre emploi ?,fra
De quoi est-elle accusée ?,fra
"J’ai lu un livre sur l’histoire des négociations diplomatiques, il était captivant.",fra
Avez-vous parlé de votre passe-temps ?,fra
Je ne peux tout simplement pas laisser Tom me tuer.,fra
Il écrasa la boîte.,fra
Il n'est pas possible que vous ne me voyiez pas.,fra
Demain c'est le solstice d'été.,fra
T'es très chanceux tu sais ! Une telle chose n'arrive qu'une fois dans une vie.,fra
Apportez-lui quelque chose à manger.,fra
"Adolf, pourrais-tu trouver le site internet pour moi ?",fra
Paris est la ville la plus visitée au monde.,fra
La perte se monta à 2.000.000 $.,fra
Tu trouves toujours des reproches à me faire.,fra
J'aime écouter son accent portugais.,fra
"Car qu'est la quantité de toutes ses prières, sinon une tentative de faire changer d'avis au Tout-Puissant pour qu'il agisse autrement qu'il ne fait ?",fra
Cette famille m'a reçu très chaleureusement.,fra
La question est : qui ira à sa place ?,fra
"Où se trouve le téléphone fixe, dans cette maison ? Dans l'entrée ou à l'étage ?",fra
Je ne peux pas excuser ce que vous avez fait.,fra
J'ai touché un sujet dont je n'ai jamais voulu parler.,fra
Elle fuit toujours ses responsabilités.,fra
Dans quelle maison habitez-vous ?,fra
Nous allons nous en arranger.,fra
Je dois parler à mon avocat.,fra
Vous ne voulez pas avoir un autre enfant ?,fra
Elle a une patience à tout crin.,fra
Je ne m'attendais pas à ce que tu viennes.,fra
"Demain, je serai ici.",fra
Je vais vous dire la vérité.,fra
Ayez l'air affamé.,fra
La meute de loups hurle autour de l’arbre dans lequel un voyageur est grimpé pour sauver sa peau.,fra
"Valser avec toi, c'est le paradis.",fra
Il faisait chaud et calme dans le parc.,fra
Je ne vais pas parler d'eux.,fra
C'est moi qui les ai plantées.,fra
Il ne veut pas se retrouver seul.,fra
Si seulement j'avais pris votre conseil.,fra
Est-ce que tu souhaites permuter ?,fra
Je me repose toujours pendant une heure après le dîner.,fra
Souhaitez-vous à nouveau essayer ?,fra
Il a dormi dans sa voiture pendant deux semaines.,fra
Ne vous souciez pas d'elle.,fra
Ce matériau est totalement imperméable à l'eau.,fra
Pouvez-vous chanter ?,fra
Tout le monde a besoin de croire en quelque chose.,fra
Catherine y est-elle également  allée ?,fra
Il n'y a pas de réponse à votre question.,fra
Ils dansèrent toute la nuit.,fra
Nous eûmes vite vendu toute la marchandise.,fra
Mets tes objets de valeur dans le coffre.,fra
Elle le zieutait d'un air suspicieux.,fra
Nous voulons savoir pourquoi.,fra
Il s'est rendu au village.,fra
Pouvez-vous dire en espéranto tout ce que vous voulez dire ?,fra
Un silence lourd appesantit la salle d’attente.,fra
L'argot renforce l'identité d'un groupe social.,fra
"On ne peut pas faire confiance aux femmes, Watson. Même aux meilleures.",fra
Ce livre est composé de cent lithographies qui représentent les êtres vivants étudiés par le biologiste Ernst Haeckel pendant ses voyages.,fra
Il ne végète plus jamais.,fra
"Ici, c'est moi le patron.",fra
J'ai fait vivre un enfer à mon premier amour.,fra
"Ainsi la petite fille promit de faire comme on lui avait dit, mais un matin, pendant qu'elle nettoyait et que la sorcière était sortie, elle oublia ce que la sorcière avait dit et regarda vers le haut de la cheminée.",fra
T'es-tu blessé ?,fra
Pas de chance !,fra
Laissez Tom tranquille. Il ne gêne personne.,fra
"Ils ne pensent pas, donc ils ne sont pas.",fra
C'est son premier film dont le personnage principal n'est pas une femme.,fra
Je viens de Russie.,fra
Sa maison est au bord de la rivière.,fra
Il manque de discipline.,fra
T'es-tu jamais sentie malade en train ?,fra
Telle est la question que nous nous posons tous.,fra
Nous avons manqué de temps.,fra
Peu souhaitent cette condition.,fra
Cela ne signifie pas que je renoncerai à le faire.,fra
Il y a une rose rouge dans le vase.,fra
Ce pianiste est connu pour sa virtuosité.,fra
"Si vous faisiez en sorte de venir camper avec nous, nous serions ravies.",fra
Ils ont essayé de me soutirer plus d'argent.,fra
Je veux qu'on me laisse seul.,fra
Je vous souhaite à tous bonne chance.,fra
Quelle journée ! Pourquoi n'avons-nous pas de congé avec cette chaleur ?,fra
Marie est-elle au courant des réductions ?,fra
Te souviens-tu de la fois où nous sommes allés à Paris ?,fra
Tom vous pardonne.,fra
"Yidir s'est réveillé, il est en train de prendre une douche.",fra
Mon père est absent à cause de son travail.,fra
Je suis juste un employé de bureau normal.,fra
John a retourné tout ce qu'il avait volé.,fra
Il s'est battu jusqu'au bout.,fra
Que tu veuilles une peluche pour Noël m'étonne beaucoup.,fra
Pouvez-vous vous faire emmener par une personne de votre entourage ?,fra
Tom a déjà dit à Marie de ne plus faire cela.,fra
Comment tout ce truc a-t-il eu lieu ?,fra
"Ce qui est important n'est pas ce que tu fais, mais comment tu le fais.",fra
J'aime regarder le foot à la télé.,fra
"Bonsoir, mon trésor !",fra
Les os forment un squelette.,fra
Je l'ai trouvé comme ça ailleurs.,fra
Il semblait avoir les idées ailleurs.,fra
Il arrive en courant.,fra
Tout vendeur chante les louanges de ses marchandises.,fra
Pourquoi n'ôtez-vous pas votre manteau ?,fra
J'essaierai ta voiture demain.,fra
Je commence à me sentir un peu mal à l'aise.,fra
"Si vos parents n’ont pas eu d’enfant, il y a une bonne chance que vous n’en ayez pas non plus.",fra
Laisse-nous faire le premier pas !,fra
Il aura plu une semaine entière s'il pleut demain.,fra
Elle a acheté ce stylo dans ce magasin.,fra
J'aimerais que vous rencontriez ma femme.,fra
Ne penses-tu pas que c'est Tanaka qui l'a fait ?,fra
Ma mère est très difficile à satisfaire.,fra
Je me réveille habituellement à six heures.,fra
Tu n'as pas de reproches à te faire.,fra
Nous ne parlons que de faits.,fra
Tom n'est pas votre frère.,fra
"Comment veux-tu que je me concentre, avec tout ce bruit ?",fra
Trouve-toi déjà une chambre !,fra
Je sais qu'elles seront d'accord.,fra
Le citron est jaune.,fra
J'ai remarqué la coïncidence.,fra
Ma mère m'a donné autant d'amour que nécessaire.,fra
Comment voulez-vous vos œufs ?,fra
Son corps était couvert de fourrure brune.,fra
Il n'arrive pas à l'oublier.,fra
On croirait entendre le Président.,fra
L'amitié a plus de valeur que l'or.,fra
Nous devons d'urgence biner les mauvaises herbes.,fra
"Parle-moi un peu de toi, Tom.",fra
Tom ne commet pas souvent de fautes.,fra
Tom aime aussi manger du poisson.,fra
Je n'avais jamais entendu cette expression.,fra
Je suppose que n'importe quoi est possible.,fra
Tu mens comme tu respires.,fra
Tu es fou.,fra
. Le pigeon s’est envolé avec un message attaché à sa patte.,fra
Je ne sais pas comment l'expliquer autrement.,fra
Il doit y avoir quelque chose là-dedans.,fra
Sais-tu pourquoi cette date est importante ?,fra
Elle n'aime pas les beignets.,fra
C'est solennellement et c'est dans une grande festivité que je vous invite à tous lever un verre à la nouvelle année.,fra
J'aime aller au cinéma.,fra
T'inquiète pas.,fra
J'aimerais t'entretenir de quelque chose.,fra
"Viens ici, toi !",fra
Les combustibles fossiles sont les principaux responsables du réchauffement climatique.,fra
Il a placé son crayon derrière l'oreille.,fra
Les druides ont tous disparu.,fra
Tu ne dois pas te fier à un tel homme.,fra
N'en soufflez mot à personne !,fra
Je n'aime pas avoir l'air d'un idiot.,fra
Auriez-vous une pièce de vingt-cinq cents à me prêter ?,fra
Tom compte devenir journaliste.,fra
Je sais que mes clés sont quelque part par là.,fra
Elles lui ont demandé de voyager.,fra
Elle a accusé son mari d'infidélité.,fra
Tom a dit qu'il n'avait pas faim.,fra
Tu t'es attardé.,fra
« Je t'ai posé une question. » « Je ne t'ai pas entendu. »,fra
Tom est tombé en arrière.,fra
Règle l'heure pour faire sonner le réveil.,fra
Moi je vais bien et toi ?,fra
Tu es la femme la plus belle au monde.,fra
Juba est né en Australie.,fra
"Le look métrosexuel, ça va si t'es gaulé comme une sauterelle.",fra
Le coiffeur défrise sa cliente avec soin.,fra
La femme sage vaut plus que la jolie femme.,fra
L'un est rouge et l'autre blanc.,fra
Personne ne vous a rendu visite.,fra
J'ai demandé ce que Tom lisait.,fra
Nous nous affairions à préparer le dîner.,fra
Je suis très content d'être là.,fra
"Malheureusement, nous n'avons pas tenu compte de cet avertissement.",fra
Je t'ai confectionné des moufles.,fra
Il dîne ici ce soir.,fra
Qu'est-ce qui a été volé ?,fra
J'ai plusieurs fonctions.,fra
Y avait-il un scandale ?,fra
Tom jeta un coup d'œil dans son sac.,fra
Jeanne regarda ma fleur.,fra
Elle a des lunettes de soleil.,fra
"Helen Keller était aveugle, sourde et muette.",fra
"Pour ce qui concerne l'horaire, je vous en informerai plus tard.",fra
Croyez-vous en la vie après la mort ?,fra
Elles étaient toutes amies.,fra
"Dans ce dernier tutorat, nous examinons des cas comportant plusieurs variables.",fra
Je suis allé rendre visite à un ami.,fra
Où puis-je acheter du dentifrice ?,fra
L'Allemagne est une démocratie parlementaire.,fra
La tension est brusquement montée.,fra
Elle était très occupée.,fra
J'ai contracté le coronavirus.,fra
Elle préfère le revendre.,fra
Sortons-nous ensemble ?,fra
Il a l'habitude de manger du poisson au dîner.,fra
C'est Brian Rock.,fra
Ils sont lents.,fra
C'est Tom qui m'a fait lire ce livre.,fra
Il faut vous mettre au travail.,fra
Il m'a fallu beaucoup de temps pour m'en remettre.,fra
La version originale du contrat d'assurance a été rédigée en français.,fra
"Je veux aider, si je peux.",fra
Refroidis ton doigt brûlé sous l'eau courante.,fra
"Si vous arrivez à lire ceci, cela signifie que vous savez parler une langue !",fra
Je transpirais sous les bras.,fra
La musique est fantastique.,fra
Ça va barder !,fra
À quelle heure as-tu mangé ?,fra
C'est vraiment tout ce que je sais.,fra
Ce matin vous avez beaucoup de courrier.,fra
"Infirmier, aide-moi !",fra
Qu'y a-t-il de plus à savoir ?,fra
La course d'endurance le fait rester jeune.,fra
Nous devons trouver un endroit pour nous cacher.,fra
Je me rappelle ce discours.,fra
Magne-toi le cul !,fra
Tom fait des progrès.,fra
Oublie que j'ai dit quoi que ce soit.,fra
Elle s'en fiche de moi.,fra
Ils sont à court d'argent pour répondre à la crise.,fra
Cela dépend du temps.,fra
Ils l'ont construit sur le terrain de l'ancienne pépinière.,fra
Le garçon était très embarrassé en sa présence.,fra
Il me faut pratiquer le turc.,fra
J'aime me balader dans la nature.,fra
Mon ordinateur a un clavier français.,fra
Nous mangions.,fra
J'ai pris ma douche et ensuite je suis allée au lit.,fra
L'éternité c'est la mer mêlée au soleil.,fra
J'ai fait des choses dont je ne suis pas fier.,fra
Vas directement.,fra
Les autres étudiants ont ri.,fra
Je suis stressée.,fra
Éteignez la lampe. Je veux dormir.,fra
Elle a peur de perdre de l'argent.,fra
Tom a marché sur un serpent.,fra
On l'a trouvé attaché et bâillonné.,fra
Je ne peux pas te donner d'argent.,fra
La police avait besoin de trop de temps pour atteindre l'île.,fra
Tom parcourt le monde en quête d'aventure.,fra
Elle a laissé blanche la dernière page.,fra
"Consolons-nous de ne pas savoir les rapports qui peuvent être entre une araignée et l'anneau de Saturne, et continuons à examiner ce qui est à notre portée.",fra
"Le diable n'existe pas, mais Dieu existe.",fra
La grenouille appartient à la classe des batraciens et à l’ordre des anoures.,fra
Voulez-vous des phrases ?,fra
Actuellement je n'ai pas d'argent sur moi.,fra
Tu réalises ce que tu viens de dire ?,fra
Quelquefois j'ai besoin de revoir ces lieux de solitude et de rêverie.,fra
Je ne brûle pas leur récolte.,fra
Est-ce que le Roi Albert aurait une relation secrète avec la Princesse Diana ? Je ne crois pas. Il est trop gros.,fra
Le berger allemand était dans une position défensive.,fra
Je ne pense pas que cela soit utile.,fra
Tu ferais mieux d'aller chez toi immédiatement.,fra
Vous êtes une grande personne.,fra
"À chaque fois lors de la fête des bateaux dragons, maman me prépare des zòngzis pour manger.",fra
Je ne suis pas le seul à ressentir ça.,fra
Allons à la montagne !,fra
On aurait dû téléphoner avant et réserver une table.,fra
Marie était heureuse.,fra
Il y en a trois à Tom.,fra
Il alla à la gabelle.,fra
"Pour réussir ici, il faut se conformer aux règles établies.",fra
Elle a travaillé toute la nuit.,fra
"Je crois, sans l'ombre d'un doute, qu'elle est innocente.",fra
Sa voiture monte au créneau.,fra
Elle ne faisait preuve d'aucune pitié.,fra
"Elle lui a acheté un chien. Cependant, il était allergique aux chiens, ils ont donc dû le donner.",fra
Tu sonnes chez elle.,fra
Sam a monté l'équipe de basketball de l'école.,fra
Je n'ai jamais rien entendu qui soit plus loin de la vérité que les divagations de cet homme !,fra
Nouez votre chaussure.,fra
Cette fenêtre est la fenêtre que Jack a cassée hier.,fra
Nous allons écouter leur nouveau disque ensemble.,fra
La femme porte le voile quand elle se marie,fra
Je ne connais pas du tout le français.,fra
Nul n'a la science infuse.,fra
Vous ne pouvez me contrôler.,fra
"Mes chers parents, vous n'allez pas survivre à mes coups de couteaux.",fra
Est-ce que quelqu'un a entendu John partir de la maison ?,fra
Les livres récemment imprimés ont une odeur agréable.,fra
C'est une opération clandestine.,fra
Cette femme est mauvaise.,fra
Je pense que Tom s'est vraiment amusé.,fra
Avez-vous une chaise près de la fenêtre ?,fra
Je n'ai encore jamais entendu Tom parler français.,fra
Je ne m'intéresse pas du tout à la mode.,fra
Je veux devenir amie avec ta sœur.,fra
"Maintenant, il est trop tard pour changer d'avis.",fra
Vous n'êtes pas obligé d'attendre jusqu'à la fin.,fra
"S'il vous plaît, ne nous laissez pas tomber.",fra
Tu ne t’es pas encore décidée.,fra
Je lui dirai la vérité.,fra
Les poissons sont rares dans cette rivière.,fra
Je n'ai rien à faire.,fra
Fais-le lorsque tu en auras le temps.,fra
Le chien semble malade.,fra
Comment veux-tu que je te croie ?,fra
Tom a une liste de ses conquêtes sentimentales.,fra
"Ça gèle, ici.",fra
Où Tom se cache-t-il ?,fra
Est ce loin d'ici ?,fra
L'enfant accroche sa poupée au-dessus de son lit.,fra
Non volevano andare in Inghilterra.,ita
È rimasto muto durante la discussione.,ita
Io non capisco quello che ha detto la professoressa.,ita
Sembrate davvero stanchi.,ita
Voglio che le cose funzionino tra noi.,ita
Quelle sono le sue figlie?,ita
Vengo da una bella città: Chengdu.,ita
Facciamo orecchie da mercante.,ita
Odio il nuovo presidente.,ita
Sorseggiò la sua bevanda.,ita
Lei divenne un'attrice.,ita
Vado a costruire edifici in Finlandia.,ita
Lasciano solo il tempo che trovano.,ita
Mi dispiace di non essere riuscita a scrivervi prima.,ita
Non andrò.,ita
Lei non faceva finta di nulla.,ita
Sta cercando un impiego.,ita
Le conosci da tanto?,ita
Dipingeva.,ita
Abbiamo trovato una persona onesta per questo lavoro.,ita
Hai trovato l'uscita?,ita
Non vanno a costruire arene in Svezia.,ita
Noi non siamo ancora aperti.,ita
Voglio veramente vedere la Torre Pendente di Pisa.,ita
Vai a costruire autostrade in Pakistan.,ita
Sami aveva un padre molto paziente.,ita
Ti sta colando il naso.,ita
Sembro stupido?,ita
"È nel parco, vero?",ita
Smettila di scusarti.,ita
Fatti dire dal medico i tempi in cui dilazionare il farmaco.,ita
Ha continuato a dipingere.,ita
Io vedo Tom quasi ogni giorno dopo la scuola.,ita
Noi abbiamo una connessione speciale.,ita
Tom è in un qualche tipo di guai?,ita
Non sapevo che il costo della vita fosse così alto in Australia.,ita
Loro ci vanno da soli.,ita
Vengo dalla Spagna.,ita
Tom conosce il francese meglio di tutte le lingue.,ita
Qualcuno deve dirlo a lei.,ita
Pensa che a me importi se le piaccio?,ita
La situazione è senza speranza.,ita
"La lingua spagnola sorse nel X secolo, così come l'italiano.",ita
Hai visto tutta la puntata?,ita
Il viaggio durò 14 mesi.,ita
È veramente inguardabile?,ita
Ci siamo già imbattutti in questo problema.,ita
Dite a Tom che ho salutato.,ita
È corretto adesso.,ita
Non la vedo da mesi.,ita
Andiamo all'acquario.,ita
Ha un problema con quello?,ita
"Lui non è medico, ma infermiere.",ita
Vanno a costruire edifici in Finlandia.,ita
La stanno osservando tutti.,ita
La pratica costante è fondamentale per il miglioramento delle abilità artistiche.,ita
Io penso che noi stiamo per ammalarci.,ita
Era preoccupata per me?,ita
Va a fare affari in Pakistan?,ita
Incontrerai Tom domani.,ita
Noi non avevamo acqua potabile.,ita
"Fatti, non parole.",ita
Non ha un fratello; ha una sorella.,ita
Chi scrive delle lettere al giorno d'oggi?,ita
Tom mi ha dato tutto ciò che mi serviva.,ita
Disse che era molto arrabbiato.,ita
Poteva essere una strage?,ita
Lascia libera la tua mano di esprimere quello che la mente le dice.,ita
A me mancherà la Moldavia.,ita
Ha punito suo figlio per avere mentito.,ita
Tom è stato arrestato l'anno scorso.,ita
Non hai passato il test?,ita
"""Cosa?"" ""Niente.""",ita
Fa la copertura dei mercati finanziari.,ita
Tom non va a scuola a piedi ogni giorno.,ita
Quanto pesa?,ita
Andiamo a costruire sinagoghe negli Stati Uniti.,ita
Sono stata mandata per darle questo.,ita
Io vorrei che voi foste morte.,ita
Quando avete piantato questo albero?,ita
Parla arabo?,ita
Vanno a costruire fattorie in Scozia.,ita
Penso che andrai per salute in Francia.,ita
Non vanno a insegnare qualcosa in Somalia.,ita
Alle undici va bene per me.,ita
Avanti così.,ita
Vai a costruire autostrade in Austria?,ita
Com'è andato il suo weekend?,ita
Sono più vecchi di lui.,ita
Io e Tom abbiamo deciso di andare in Australia assieme.,ita
Mi amava davvero?,ita
Il pene è uno degli organi sessuali maschili.,ita
Io vengo dalla Zambia.,ita
"È sul tetto, vero?",ita
Sto respirando dell'aria inquinata.,ita
Ti piacciono i bucatini?,ita
Potete farlo sorridere?,ita
Quando è stata l'ultima volta che avete mangiato della pizza?,ita
Mary ha detto che era arrabbiata.,ita
Noi siamo arrivati sull'isola due giorni dopo.,ita
Andiamo a costruire edifici in Bielorussia.,ita
Il problema era così difficile che non sono riuscito a risolverlo.,ita
Voglio semplicemente che tu sia felice.,ita
A lei piace leggere articoli scientifici.,ita
Dove l'hai visto?,ita
La custodia è la sua?,ita
Ti daranno un'altra occasione.,ita
La solitudine e i libri incombono tristemente sul mio futuro.,ita
È veramente forte.,ita
"""Di che nazionalità erano le vostre zie?"" ""Nigeriana.""",ita
Mi potreste insegnare un po' di francese?,ita
Tom sembra sempre triste.,ita
Tom non fa delle cose del genere.,ita
Tu mangi in classe?,ita
Osamu Dazai si uccise.,ita
Sono molto fiero di voi.,ita
"Nella stanza era cambiato qualcosa, ma Marco non riusciva a capire cosa.",ita
Non vanno a costruire scuole in Russia.,ita
Va a costruire case in Ucraina?,ita
La ferirono.,ita
Vai al cinema ogni settimana.,ita
"""Dove vogliono andare in vacanza?"" ""In Turchia.""",ita
Penso che dovresti andare ora.,ita
Mi hai incuriosita.,ita
Ho suonato qui la settimana scorsa.,ita
È diventato amico di Tom.,ita
Sembrava interessante.,ita
Mi sento sempre ristretto qui.,ita
Non si dimentichi di passare il filo interdentale.,ita
Tu adesso non ti vedi con nessuno?,ita
Come sei vigorosa!,ita
Volete andare in Bulgaria?,ita
Dove sono le sue frasi?,ita
Il cane annusò la ciotola vuota e mi ha guardò con disapprovazione.,ita
Chiamate l'ospedale.,ita
Si infilano dove meno te lo aspetti.,ita
Torni nella sala d'attesa.,ita
Noi lo conosciamo tutti come romanziere.,ita
